epoch,train_loss,val_loss,lr,best_epoch,best_val_loss
1,0.24078634457710463,0.1294543253765865,0.0001,10,0.11580095761878924
2,0.1838818337672796,0.12613461259752512,0.0001,10,0.11580095761878924
3,0.1717092345158259,0.11777952652085912,0.0001,10,0.11580095761878924
4,0.16619736109024438,0.12106588516723026,0.0001,10,0.11580095761878924
5,0.16010914208033147,0.1176257688890804,0.0001,10,0.11580095761878924
6,0.1551376428359594,0.11660894412886012,0.0001,10,0.11580095761878924
7,0.153087976651314,0.11714639599350365,0.0001,10,0.11580095761878924
8,0.14809199078724936,0.11591259737245062,0.0001,10,0.11580095761878924
9,0.1451700570491644,0.12073324942453341,0.0001,10,0.11580095761878924
10,0.1421249996011074,0.11580095761878924,0.0001,10,0.11580095761878924
11,0.1392758228839972,0.12153628519312902,0.0001,10,0.11580095761878924
12,0.13693940486663428,0.11805902438407595,0.0001,10,0.11580095761878924
13,0.1324576504337482,0.12692358361726458,0.0001,10,0.11580095761878924
14,0.13238273274440032,0.11907489259134639,0.0001,10,0.11580095761878924
15,0.1290469393134117,0.11990703523836353,0.0001,10,0.11580095761878924
16,0.12837473914409295,0.12126492624255744,0.0001,10,0.11580095761878924
17,0.12282865418073459,0.11812139133160765,6e-05,10,0.11580095761878924
18,0.12206929348982297,0.12134638581086289,6e-05,10,0.11580095761878924
19,0.11896720719643128,0.12175129523331468,6e-05,10,0.11580095761878924
20,0.11875562962049092,0.12102788297290151,6e-05,10,0.11580095761878924
21,0.11711080620686214,0.11908924850550565,6e-05,10,0.11580095761878924
22,0.11525972053790703,0.1236080832102082,6e-05,10,0.11580095761878924
23,0.11315492750742497,0.12313889627429572,3.6e-05,10,0.11580095761878924
24,0.11261881620456012,0.1227229420434345,3.6e-05,10,0.11580095761878924
25,0.11248199144999187,0.12468449686738578,3.6e-05,10,0.11580095761878924
26,0.11163059698465543,0.12310094911266457,3.6e-05,10,0.11580095761878924
27,0.1102117875065559,0.12304352918131785,3.6e-05,10,0.11580095761878924
28,0.1092305301855772,0.13082343306053767,3.6e-05,10,0.11580095761878924
29,0.10784580787787071,0.12473317760635506,2.16e-05,10,0.11580095761878924
30,0.10859848635318951,0.12592793272977526,2.16e-05,10,0.11580095761878924
31,0.10725502440562615,0.12382413159039887,2.16e-05,10,0.11580095761878924
