fold,best_epoch,best_val_mean_daily_ic,bt_sharpe,bt_max_dd,bt_turnover,bt_cum_ret,val_dailyIC_h5,val_dailyRankIC_h5,val_qspread_h5,test_dailyIC_h5,test_dailyRankIC_h5,test_qspread_h5,val_dailyIC_h20,val_dailyRankIC_h20,val_qspread_h20,test_dailyIC_h20,test_dailyRankIC_h20,test_qspread_h20,val_dailyIC_h60,val_dailyRankIC_h60,val_qspread_h60,test_dailyIC_h60,test_dailyRankIC_h60,test_qspread_h60
1,39,0.11110649950375891,-0.6986961300432916,-0.3745719924316173,0.6875,-0.10479156645606624,0.050025616637774835,0.05675777327354077,-0.005819275346531925,0.0029860682665765427,-0.007268896133125071,-0.0008785611204753907,0.11022355916042301,0.0934486645756357,-0.009393707440491226,0.07497064656024537,0.028159262164528475,0.011197195128925303,0.17307032271307887,0.1562589839162134,0.023425440660842484,0.12211981939624642,0.05723985751633097,0.06750651259960525
2,6,0.050518124658386836,-4.473018692262205,-0.9803282434189869,0.5763888888888888,-0.9731223659354167,-0.033648386432725885,-0.0066908460896047284,-0.0010402658805856297,-0.02903886208425203,0.008016929400550883,-0.02870206972723584,0.038935260670094674,0.026448914561900946,0.019831620260111732,0.12007778052210134,0.04574491483318483,0.13443938354329374,0.1462674997377917,0.11035231185390383,0.11449049904980971,0.1260544535915698,0.04181557326499862,0.2596626390170766
3,1,0.2616338715066478,2.296842352106052,-0.292804274434905,0.8918650793650794,0.5295372749483216,0.05696188171187209,0.03639291640785478,0.04033775035556559,0.03232035658728139,0.04859180389885443,0.003372740118948059,0.3701928864130546,0.047935032461601766,0.1566454563554789,0.0969675933834694,0.035868522170191944,0.007774590794190498,0.35774684639501675,0.08174082163845971,0.4172537639346884,0.01977990654870295,0.032361383023392365,0.015666627222943798
4,31,0.07662033317048472,4.260239419579549,-0.09575311206404491,0.6954365079365079,0.6627726965748129,0.005083938770008311,0.023964141684824088,0.0013267372962564835,0.023820106737932487,0.025144228594788168,0.004035607207235501,0.09426166838692993,0.11017710310716457,0.022051322510147686,0.04002834269785304,0.04363684407816314,0.009234380808540289,0.13051539235451592,0.1028582004755107,0.02823165652032566,-0.0450097446922671,-0.02795706101609039,-0.01705472122878183
5,4,0.028077404582151976,-5.325815597835327,-0.6604167846551804,0.7668650793650794,-0.649452772192004,0.025834445879744886,-0.0032954163648311182,0.0010465467489883026,-0.05879469352233572,-0.014930723806020079,-0.008319522519698131,0.022235015748701962,-0.04568004182372486,0.007004893862701451,-0.07019418645447374,-0.02743931665576705,-0.018409288352243508,0.03616275211800909,-0.004202896898764777,0.028598555020055625,0.004208148052756202,0.013641603823144076,0.08165704091975891
6,6,0.09064420862759913,-3.6701834080296636,-0.9689023001254385,0.5595238095238095,-0.9547849980758665,0.05348170569266296,0.044821085127879474,0.00955354415417253,-0.030395703656277032,0.020558012679990766,-0.02457401862090866,0.0640298500931002,0.020605437178300223,0.019065387440471728,0.08224341846387145,-0.004459443363336132,0.08941066751293918,0.15442107009703424,0.04294556445869384,0.03876699658433479,0.06700038419611466,0.09338528458912433,0.19998266991913421
7,7,0.13433619287374018,-1.9566045769390785,-0.6961605658061446,0.9781746031746031,-0.5188831485290673,-0.0190570702628587,0.01009744715056016,-0.018029488211852136,0.009556140781477554,-0.013963886690565763,-0.005806707174041015,0.1264838203889017,0.03773964170687059,0.13716502888641954,0.023360356876527974,0.04646520870767451,0.0027957432458130087,0.2955818284951775,0.07669806856798728,0.39048055772497126,-0.01188834453895924,-0.01567607376207631,-0.037007837903397484
8,2,-0.005975060455927395,-0.5850437167440005,-0.3519711843015477,0.9424603174603174,-0.10171248731166338,-0.04485586834146277,-0.017854875431523493,-0.0034328085511412883,-0.015831363200221896,0.00242782203976207,-0.000851310253110074,-0.03155805811173468,-0.031209623628077936,-0.004834362956173555,0.0869838455849594,0.08551496421503497,0.03364135019524856,0.05848874508541526,0.02856731697297212,0.02297569994849861,-0.021356799906708065,-0.08784685086413549,0.05809446355026275
