epoch,train_loss,val_loss,lr,best_epoch,best_val_loss
1,0.1560931112184081,0.07010920202502838,0.0001,10,0.06472476858359116
2,0.11401024746686914,0.06839650152967526,0.0001,10,0.06472476858359116
3,0.10235773598731951,0.0655756933757892,0.0001,10,0.06472476858359116
4,0.09479932564982148,0.06828148777668293,0.0001,10,0.06472476858359116
5,0.08863748488731163,0.06557820364832878,0.0001,10,0.06472476858359116
6,0.08302686536727949,0.06625061539503244,0.0001,10,0.06472476858359116
7,0.07902335154629031,0.06543762953235553,0.0001,10,0.06472476858359116
8,0.07690308424969051,0.06532028976541299,0.0001,10,0.06472476858359116
9,0.07597369917256888,0.06495152270564666,0.0001,10,0.06472476858359116
10,0.07417962713123755,0.06472476858359116,0.0001,10,0.06472476858359116
11,0.07180080822733946,0.06505499378992961,0.0001,10,0.06472476858359116
12,0.07086408259563667,0.06543707618346581,0.0001,10,0.06472476858359116
13,0.07019468609156997,0.06588295044807288,0.0001,10,0.06472476858359116
14,0.06859122182047644,0.06601540171183072,0.0001,10,0.06472476858359116
15,0.06828813649020916,0.0675195982823005,0.0001,10,0.06472476858359116
16,0.06755714244100937,0.0652611510684857,0.0001,10,0.06472476858359116
17,0.06654308454761672,0.06528984526029,6e-05,10,0.06472476858359116
18,0.06592800234292828,0.0652858612055962,6e-05,10,0.06472476858359116
19,0.06590301708080047,0.06569410172792581,6e-05,10,0.06472476858359116
20,0.0652963044338448,0.06572402927737969,6e-05,10,0.06472476858359116
21,0.06448996898739837,0.06577041601905456,6e-05,10,0.06472476858359116
22,0.06419306677267995,0.06600917359957328,6e-05,10,0.06472476858359116
23,0.06383487642850987,0.06573084197365321,3.6e-05,10,0.06472476858359116
24,0.06343566214795722,0.06574326438399461,3.6e-05,10,0.06472476858359116
25,0.06328133740570656,0.06591907774026577,3.6e-05,10,0.06472476858359116
26,0.0629279289914425,0.06564517175922027,3.6e-05,10,0.06472476858359116
27,0.062446176096103916,0.06574761924835351,3.6e-05,10,0.06472476858359116
28,0.06251068153353624,0.06569228865779363,3.6e-05,10,0.06472476858359116
29,0.062229750418039256,0.06595963497574513,2.16e-05,10,0.06472476858359116
30,0.06173695017432058,0.06622116640210152,2.16e-05,10,0.06472476858359116
31,0.061687912228842116,0.06611476494715764,2.16e-05,10,0.06472476858359116
