epoch,train_loss,val_loss,lr,best_epoch,best_val_loss
1,0.1811988419956631,0.04695409922688096,0.0001,65,0.023894848164033006
2,0.14933863392582647,0.047951938998368054,0.0001,65,0.023894848164033006
3,0.13593474913526465,0.04092208327104648,0.0001,65,0.023894848164033006
4,0.1266193389892578,0.03831404109519941,0.0001,65,0.023894848164033006
5,0.11721936282184389,0.03423049752772958,0.0001,65,0.023894848164033006
6,0.10943148423124242,0.03350391218231784,0.0001,65,0.023894848164033006
7,0.10557402366841281,0.03142719667542864,0.0001,65,0.023894848164033006
8,0.10236705508497027,0.030857141923021386,0.0001,65,0.023894848164033006
9,0.0976328480022925,0.030139187385362608,0.0001,65,0.023894848164033006
10,0.09484278051941483,0.029252670843292167,0.0001,65,0.023894848164033006
11,0.09118249708855594,0.029342007547341013,0.0001,65,0.023894848164033006
12,0.08872255213834622,0.029154732616411314,0.0001,65,0.023894848164033006
13,0.08473799543248282,0.02841322617260394,0.0001,65,0.023894848164033006
14,0.08262386669715245,0.027266037857366934,0.0001,65,0.023894848164033006
15,0.07993287703505268,0.027905144866693904,0.0001,65,0.023894848164033006
16,0.07773640199943825,0.027670374933492253,0.0001,65,0.023894848164033006
17,0.07518758459223641,0.02761286573001632,0.0001,65,0.023894848164033006
18,0.07285875882263537,0.026914331544604566,0.0001,65,0.023894848164033006
19,0.07135100717897769,0.025964606001421257,0.0001,65,0.023894848164033006
20,0.07136958120045839,0.026087724810673132,0.0001,65,0.023894848164033006
21,0.06779802838961284,0.027669809793156606,0.0001,65,0.023894848164033006
22,0.06663457138670816,0.027209017046347813,0.0001,65,0.023894848164033006
23,0.06406361885644772,0.025709124661430164,0.0001,65,0.023894848164033006
24,0.06309424244143345,0.02602483935792137,0.0001,65,0.023894848164033006
25,0.06098064297327289,0.026346981973835715,0.0001,65,0.023894848164033006
26,0.059721262366683396,0.02600495451716361,0.0001,65,0.023894848164033006
27,0.059299773502129095,0.024899248292462692,0.0001,65,0.023894848164033006
28,0.05782843243192743,0.025171067186251835,0.0001,65,0.023894848164033006
29,0.05606640433823621,0.02547746072350829,0.0001,65,0.023894848164033006
30,0.054374323812899764,0.024786932014480786,0.0001,65,0.023894848164033006
31,0.05340751867603372,0.02478269915337916,0.0001,65,0.023894848164033006
32,0.05217408209487244,0.02529928226161886,0.0001,65,0.023894848164033006
33,0.04978669517570072,0.024993851125516272,0.0001,65,0.023894848164033006
34,0.049697711787841936,0.0246902109572181,0.0001,65,0.023894848164033006
35,0.04928862275900664,0.024622027313819638,0.0001,65,0.023894848164033006
36,0.047630553858147726,0.024565079456402197,0.0001,65,0.023894848164033006
37,0.04678889805520022,0.024523207107213913,0.0001,65,0.023894848164033006
38,0.046227021901695815,0.024525736251638994,0.0001,65,0.023894848164033006
39,0.04454427447032045,0.024784553175171215,0.0001,65,0.023894848164033006
40,0.04417572211888102,0.024687205372309243,0.0001,65,0.023894848164033006
