epoch,train_loss,val_loss,lr,best_epoch,best_val_loss
1,0.16439606562072848,0.11502832521430471,0.0001,1,0.11502832521430471
2,0.1424645729087017,0.11667283980006521,0.0001,1,0.11502832521430471
3,0.13582693969393955,0.11654407649554989,0.0001,1,0.11502832521430471
4,0.1332066394848588,0.11771918977187439,0.0001,1,0.11502832521430471
5,0.12986796772406425,0.11849811537699266,0.0001,1,0.11502832521430471
6,0.1283570264040688,0.11777665144340559,0.0001,1,0.11502832521430471
7,0.12583943042490217,0.11858378020538525,0.0001,1,0.11502832521430471
8,0.12438875445981085,0.12035023683512752,6e-05,1,0.11502832521430471
9,0.12399653566104395,0.11867821766910228,6e-05,1,0.11502832521430471
10,0.1230182565840674,0.11841354222798889,6e-05,1,0.11502832521430471
11,0.1224960795155278,0.11705610951916738,6e-05,1,0.11502832521430471
12,0.12070680253299666,0.11909327977760271,6e-05,1,0.11502832521430471
13,0.12023505218970923,0.11822431932457468,6e-05,1,0.11502832521430471
14,0.11885266594680739,0.1198633485050364,3.6e-05,1,0.11502832521430471
15,0.11843448242655506,0.12068920971995051,3.6e-05,1,0.11502832521430471
16,0.11810377258577465,0.11920293666083705,3.6e-05,1,0.11502832521430471
17,0.11798446404713171,0.11877392799678174,3.6e-05,1,0.11502832521430471
18,0.11802884835151979,0.12092989632351832,3.6e-05,1,0.11502832521430471
19,0.11623751675641095,0.12149062795056538,3.6e-05,1,0.11502832521430471
20,0.11557682539209907,0.11990037738260897,2.16e-05,1,0.11502832521430471
21,0.11572382773882077,0.12052388954907656,2.16e-05,1,0.11502832521430471
22,0.1157566025669192,0.11853010156615214,2.16e-05,1,0.11502832521430471
